"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/vizeh-profile_image-aee1c9cce82c3934-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9901","Vizeh","9255435","50490","1539","147","39810","12239","154180","true","false","English","Vizeh"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fa4ee5e3-4531-44e8-98a8-d60e6143f6b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9902","Graycen","49099545","108420","4961","426","39809","20649","1109067","true","false","English","Graycen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cd81be1b-74ce-47d0-9953-f1c3ee062859-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9903","LGLOYAL","37327620","6825","54603","4368","39802","35478","15648991","false","false","English","LGLOYAL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cypher-profile_image-84b7a5a2dba5b195-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9904","cYpheR","25954305","94800","1628","268","39791","16389","2125199","true","false","Russian","cYpheR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1750b78c-8688-4b7d-887e-fb6c56f93c01-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9905","SoaRDylan","473655","3060","633","153","39778","15441","17896","true","false","English","SoaRDylan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/83e56525-9d60-43ba-8985-f6e6ef3c7a68-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9906","ZonaGameer","10545","2550","14","4","39766","-1462","748","false","false","Spanish","ZonaGameer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f928e5f0-c0fa-4976-a37b-9aeac28df893-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9907","sixtyrf","8961405","48960","3843","164","39764","39301","247101","false","true","English","sixtyrf"
"https://static-cdn.jtvnw.net/jtv_user_pictures/84b648b2-e81b-495b-aa37-a815c4999c4b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9908","gelatita","8821695","100170","2004","86","39764","18158","421625","true","false","Spanish","gelatita"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1a0281f-8d13-4962-8530-4510384789f1-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9909","威傅 (a0z0a0z0)","43943955","93000","3027","458","39760","6311","1213142","true","false","Chinese","威傅 (a0z0a0z0)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/14169216-b29e-4bf8-8dfc-bbbb15a6b226-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9910","senxrio97","12465","5280","17","1","39751","39739","8204","false","false","English","senxrio97"
"https://static-cdn.jtvnw.net/jtv_user_pictures/arkas-profile_image-d0b07462bbd77186-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9911","Arkas","3300030","48645","306","58","39741","-136","53165","true","false","English","Arkas"
"https://static-cdn.jtvnw.net/jtv_user_pictures/10bd44dc-d947-429f-ba5d-0ad17639b6b4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9912","quando_rondo","3628125","19575","2704","167","39734","39690","64094","true","false","English","quando_rondo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7e34c5ea-90ee-492c-ac68-364093fb28a2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9913","Ikebi","14673900","77220","2695","184","39733","20202","436807","true","false","French","Ikebi"
