"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/cef31105-8a6e-4211-a74b-2f0bbd9791fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","1","Ninja","701861835","31785","110102","20502","16450090","1634724","28436518","true","false","English","Ninja"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82b63a01-628f-4c81-9b05-dd3a5011fdda-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","2","Tfue","3183739200","136575","190173","23261","9719140","2388066","69468127","true","false","English","Tfue"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ed5e0c6-0191-4eef-8328-4af6e4ea5318-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","3","shroud","1591598190","54660","471281","29308","8593327","1354378","48622071","true","false","English","shroud"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a2592e98-5ba6-4c9a-9d9e-cf036d6f64c2-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","4","Rubius","3687015420","67020","240096","53453","7346415","4655625","87022914","true","false","Spanish","Rubius"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c814f430-44bd-41c5-aa47-edf2360d5e74-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","5","Myth","1532917215","130140","122552","10272","7075042","1494216","44029269","true","false","English","Myth"
"https://static-cdn.jtvnw.net/jtv_user_pictures/beeafc17-3ebe-4e1d-b250-404f1ea56988-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","6","pokimane","1335479640","60810","112160","20762","6661143","3011628","57847479","true","false","English","pokimane"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec898e4a-e0df-4dc0-a99d-7540c6dbe1e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","7","auronplay","3900446880","50370","191742","74479","6143353","5040520","71732634","true","false","Spanish","auronplay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bd6ad02e-9bc7-4956-b62f-7277d9981109-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","8","TimTheTatman","3391869675","107295","335403","31100","5880739","1707497","56696155","true","true","English","TimTheTatman"
"https://static-cdn.jtvnw.net/jtv_user_pictures/99aa4739-21d6-40af-86ae-4b4d3457fce4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9","summit1g","6284816775","219420","310998","25918","5717713","1685759","92428859","true","false","English","summit1g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/457bdc9d-67ad-4f38-9bf5-6420bc746ad6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","10","TheGrefg","2703460485","71025","538444","35329","5326309","4126378","69463646","true","false","Spanish","TheGrefg"
"https://static-cdn.jtvnw.net/jtv_user_pictures/23ff75f6-cce0-4071-8e45-9c9edb5281d7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","11","Heelmike","225824175","90975","18963","2427","5034676","4881962","3756523","true","true","English","Heelmike"
