"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/aa2b4dbd-4e78-4f43-88cd-2c15e7bd6d92-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9701","AshClashYT","678390","4650","289","134","40677","2497","19347","true","false","English","AshClashYT"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ffb97ad-869f-4de5-802f-ebef90c83c14-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9702","엔마_ (enma0311)","14863830","64665","964","227","40674","18644","411306","true","false","Korean","엔마_ (enma0311)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8f5f6e6a-2b18-4c98-8a98-e41ccd43d768-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9703","DarkMelocoton","2582970","14145","1130","160","40671","30781","59773","false","false","Portuguese","DarkMelocoton"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0e04d481-cc38-4c2b-b52c-c00b4f3528db-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9704","CrunchyEggrollz","29940120","123150","2460","236","40667","10021","352531","true","true","English","CrunchyEggrollz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/018da2ac-06d6-4194-8015-f8802f752e73-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9705","Ojeedita","530715","20970","1520","19","40662","40594","33507","false","true","Spanish","Ojeedita"
"https://static-cdn.jtvnw.net/jtv_user_pictures/427cf087-7d38-457b-9fcf-70438b176d3e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9706","t0nse","6647355","44010","720","151","40660","30598","460856","true","false","Danish","t0nse"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b3997dac-b483-41d5-be45-e8cb59bfddfa-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9707","KoalaCrockie","16181190","53265","32284","277","40655","24426","393509","true","false","English","KoalaCrockie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8e4df136-b5af-4448-92e5-5d7944e3e887-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9708","aLilFoxz","107025","1680","152","62","40651","-1097","14632","true","false","English","aLilFoxz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/jaieazy-profile_image-0d59c0adcd9a0a02-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9709","JaiEazy","2021460","47115","485","42","40650","1913","24809","true","true","English","JaiEazy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ee38066a-f023-41e0-9ef3-c5fb9155acc1-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9710","lunamartinez","2585655","4245","3769","742","40647","30822","46601","true","false","Spanish","lunamartinez"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ce79bc4e9ce30f37-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9711","Lylithyy","18445575","165690","5083","97","40641","14299","794945","true","true","Portuguese","Lylithyy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f1012310-ab70-412c-b64c-274fbf466d3a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9712","chocolate_puma","12801360","94875","589","134","40640","13773","483235","true","true","Polish","chocolate_puma"
"https://static-cdn.jtvnw.net/jtv_user_pictures/16f38193-60c4-44e5-868e-66e50387cad5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9713","TheDevilishBabe","6535440","52470","1060","124","40636","30850","500395","true","false","French","TheDevilishBabe"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b95f6eda-d0ca-46dd-a465-f2052ff90af6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9714","k3lly01","4558890","13620","1560","312","40636","8940","540171","true","false","Spanish","k3lly01"
"https://static-cdn.jtvnw.net/jtv_user_pictures/850431f1-1f67-40e8-9bc0-c93daab0f6dd-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9715","달끼 (jjorongho)","9104055","23415","2691","367","40634","17678","1225482","true","false","Korean","달끼 (jjorongho)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/070033e6-d87a-480a-b536-04295eaa1388-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9716","LyeGaia","8269830","40470","1547","201","40634","24877","565714","true","false","French","LyeGaia"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ferretbomb-profile_image-456daef7203ad8ed-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9717","FerretBomb","11540895","70350","2309","159","40630","353","863331","true","false","English","FerretBomb"
"https://static-cdn.jtvnw.net/jtv_user_pictures/18918a7b-7aac-470c-ac63-906926af94ed-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9718","valorant_jpn","64494615","10125","30822","5626","40625","39572","1857292","true","false","Japanese","valorant_jpn"
