"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/b8d76f27-c4fe-4ea9-b9c5-2b533c60bcc3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9401","Malcynna","58185","15645","16","3","41983","-712","3326","true","true","English","Malcynna"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8b856f2e-5e36-44cb-b230-2864b7cb75c9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9402","TuttekHS","27301305","31185","2433","841","41981","12806","563183","true","false","Polish","TuttekHS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/846ab15d-f0f3-4e41-89b2-176ec0e560c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9403","esport1tv","19917195","84735","3356","250","41981","10080","1603857","true","false","Hungarian","esport1tv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/213edaa4-d0e2-4e0a-8690-366c91f01eb7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9404","KingGrievous","780","435","4","1","41978","41976","65528","false","false","English","KingGrievous"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fec78064-54fb-40a4-8d47-3ceff4603680-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9405","mawakha","4331595","12225","4627","308","41971","23336","458644","true","false","Russian","mawakha"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a3be3d8-b3fc-425f-a806-3d2d6a9252ca-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9406","Dingo_GG","19873305","31230","8144","576","41968","22769","515074","true","false","Danish","Dingo_GG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7aa440ef-bdcd-4a44-9efc-834d557f6f7b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9407","Kath_","2805420","51075","138","51","41965","26281","56327","false","false","French","Kath_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fdea6951-df74-4e92-93b8-4be3a0f3d62f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9408","FUTWIZ_Vini","14949045","35505","1518","401","41965","22378","1035582","true","false","Portuguese","FUTWIZ_Vini"
"https://static-cdn.jtvnw.net/jtv_user_pictures/165f6b77-4275-44ee-9b7f-da9015d7dd4c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9409","baianinhalol","2297970","35490","1352","72","41964","40850","197715","true","false","Portuguese","baianinhalol"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3d4737e8-9ad6-4833-a570-d9d129aee46e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9410","KingShomy","40455","2205","422","14","41960","28662","168993","false","false","Other","KingShomy"
