"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/b74b642f-a121-487f-8bcb-9df95b4d2267-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9301","DDRJake","25600740","79155","2159","315","42480","5150","480491","true","false","English","DDRJake"
"https://static-cdn.jtvnw.net/jtv_user_pictures/zainssbm-profile_image-36416f5c5757a5c9-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9302","zainssbm","29677905","89715","5213","328","42463","33005","631503","true","false","English","zainssbm"
"https://static-cdn.jtvnw.net/jtv_user_pictures/revscarecrow-profile_image-cc78767b3cbb3a1d-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9303","RevScarecrow","13456500","41370","2040","309","42460","5627","258536","true","true","English","RevScarecrow"
"https://static-cdn.jtvnw.net/jtv_user_pictures/05f66e74-9545-429f-8e82-76f603b8be16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9304","FasoleyyaI","2551110","13830","727","177","42459","20518","73841","true","false","Arabic","FasoleyyaI"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1333f159-d64e-4a8a-9de4-9983d13f0820-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9305","PorterRobinson","17283570","3915","39150","1888","42450","35781","2096049","false","true","English","PorterRobinson"
"https://static-cdn.jtvnw.net/jtv_user_pictures/91302f5e-34c4-474c-8946-6007bda6c2f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9306","kawaboumgaop","20661120","46785","2398","394","42447","15223","484324","true","false","French","kawaboumgaop"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5abacecd-eb86-41e3-a8bc-11f61592124e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9307","Allen","18400380","19245","5610","877","42444","869","77924","true","false","Russian","Allen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b84bf44b-12c7-4234-9db8-340b08b903d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9308","xdardi","3932265","38895","534","104","42430","17047","143719","true","false","Other","xdardi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f5ed90cff40696fa-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9309","AttackingTucans","1236390","12075","635","102","42430","2459","38109","true","true","English","AttackingTucans"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7e6f53ad-6452-4ca4-a8f0-7fa7fbe76d2a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9310","CONtv","9805830","516540","81","18","42428","-2080","152462","true","true","English","CONtv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e229a97f-dd81-4c8e-b67b-2734f84f54b9-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9311","Hycel","210315","1620","401","113","42425","-56","18711","true","false","Polish","Hycel"
"https://static-cdn.jtvnw.net/jtv_user_pictures/753df465-f413-49e0-a40b-6d9ca1fdbbea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9312","FREAKNOFREAK","96225645","281580","10125","233","42424","35514","4586217","true","false","Russian","FREAKNOFREAK"
