"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/ceeb4844-0322-4fad-80d0-4333b40618d7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","801","oKINGBR","170810610","88980","14660","1850","381064","332660","5771935","true","false","Portuguese","oKINGBR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fe2feb08-305a-44c5-b908-92c4de4b01c4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","802","Magic","245693415","34200","114234","4399","380870","44290","9271823","true","false","Portuguese","Magic"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3f515ac0-73f5-4d47-afc4-3755bb55db7a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","803","ESEA","34963740","32985","6398","1088","380617","15622","4028883","true","false","English","ESEA"
"https://static-cdn.jtvnw.net/jtv_user_pictures/17321b47-353d-4d25-8fd9-f5bd08f54003-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","804","Mastu","40563105","5985","38672","7012","380563","270608","978755","true","false","French","Mastu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/79a878d4-9fa0-471a-bc2d-b57373b25ad5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","805","IlloJuan","380027925","65220","26038","5866","380394","243975","8701856","true","true","Spanish","IlloJuan"
"https://static-cdn.jtvnw.net/jtv_user_pictures/1718aa73-e974-4fe5-9c3b-579fd54282d8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","806","Hasvik","47745195","46875","5944","948","380341","305724","1423601","true","false","Spanish","Hasvik"
"https://static-cdn.jtvnw.net/jtv_user_pictures/19349071-97d6-4f7e-b2ca-849a9bb6c382-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","807","mL7support","281759940","115440","9038","2330","379957","145061","5666052","true","true","English","mL7support"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a5d6170b9da466fa-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","808","Evo","28981950","2175","34812","14288","379912","9896","1148350","true","false","English","Evo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/harmii-profile_image-cca8a7d03c39dddb-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","809","Harmii","155457525","117555","7514","1276","379340","173997","4168784","true","false","German","Harmii"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cdprojektred-profile_image-e8bfb85e03a7b35b-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","810","CD PROJEKT RED (cdprojektred)","72057720","5595","233048","20063","378920","196628","2552725","true","true","English","CD PROJEKT RED (cdprojektred)"
