"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/3dc89ee0-c2ea-456b-8cac-0ae912f25e77-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","901","SdeSergi0","79820580","24210","27950","3417","351725","351661","2931276","false","false","Spanish","SdeSergi0"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d6291b80-19a6-499e-8a63-4c2053d5f60d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","902","miamalkova","15942270","10110","7751","1487","351664","167240","1663866","true","true","English","miamalkova"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","903","knekro","449514900","111765","20078","3980","351425","159492","12717049","true","false","Spanish","knekro"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1f6c1e1-9c7a-4d7a-bb3b-5a330b2759e6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","904","Plushys","68394375","38895","14840","1711","351277","109779","2670458","true","false","English","Plushys"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f3d387c2-af3e-4efb-9ada-fef7d35689b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","905","xpk_","915","495","5","2","350586","350585","134","false","false","English","xpk_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f6c1a0a0-0805-448a-95f8-c3aab913c4b6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","906","R6esportsBR","299035620","68475","60386","3730","350504","110135","7699085","true","false","Portuguese","R6esportsBR"
"https://static-cdn.jtvnw.net/jtv_user_pictures/125bbc49-45d1-432c-92b3-f5aef1e7ab21-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","907","Ponce","614156160","134865","29654","4492","350297","287360","21084575","true","true","French","Ponce"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fe06e3aa-9ee7-4b1c-8e7c-1a2db8d46642-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","908","EnriqueRamosGamer","78332445","60330","9003","1285","349929","330528","3399010","true","false","Spanish","EnriqueRamosGamer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d60e5923-b1d0-4e5c-b91d-64c2777dc771-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","909","Ranger","102515820","160950","5337","597","349428","167689","1507786","true","false","English","Ranger"
"https://static-cdn.jtvnw.net/jtv_user_pictures/witwix-profile_image-ae615afc95719ed4-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","910","witwix","45408210","37035","6880","1127","349134","-15384","1011279","true","true","English","witwix"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1e022cb-4608-4487-bd28-d5ff1537f875-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","911","DreamLeague","324184185","103290","147514","2880","349054","46066","5474324","true","false","English","DreamLeague"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fdb43e59-64a0-4d8b-9dbb-922f8f76c9f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","912","테디이 (t1_teddy)","84812160","24945","13709","3626","348897","171231","4201636","true","false","Korean","테디이 (t1_teddy)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/82f74570-ff4e-4f34-917b-76e0dc62bf16-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","913","빛베리 (berry0314)","87832035","42540","6732","1912","348543","96367","7106180","true","false","Korean","빛베리 (berry0314)"
"https://static-cdn.jtvnw.net/jtv_user_pictures/rsgloryandgold-profile_image-01fd65d3b68e221e-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","914","rsgloryandgold","7278885","89415","3900","78","348299","64655","413413","true","true","English","rsgloryandgold"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a336fca8-f7b1-4019-b954-1b48b2bc759c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","915","rickyedit","158164860","86400","9382","1654","348268","299446","5851944","true","true","Spanish","rickyedit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/49f4e22a-3123-413f-81ce-0551166eb19e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","916","nilojeda","27905175","14190","13783","2044","348197","279213","1374458","true","false","Spanish","nilojeda"
"https://static-cdn.jtvnw.net/jtv_user_pictures/86495c1d-14da-4064-bf06-cd213011ac09-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","917","mount","204485745","106470","27820","1658","348151","282370","5827669","true","false","Portuguese","mount"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cb2752352213ce0b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","918","Chad","18074400","64155","2694","268","347358","-1418","686873","true","true","English","Chad"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2c3e1864-6f10-4ade-aa33-1769f01721cb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","919","loud_thaiga","15524295","9480","13782","1583","347064","192102","932228","true","false","Portuguese","loud_thaiga"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5196aa01-5726-4e38-b438-f6dfeb256e15-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","920","WePlayEsport_RU","752586030","73875","115737","9976","346934","210804","23825938","true","false","Russian","WePlayEsport_RU"
"https://static-cdn.jtvnw.net/jtv_user_pictures/450ef44c-3ee8-4a99-8e37-c7d64c3bbb89-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","921","paulanobre","162682665","148515","5621","1033","346426","312514","7899871","true","true","Portuguese","paulanobre"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a52a87da-9652-4c0f-a14a-337968cc5283-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","922","Vivid","9899535","9840","16543","767","345987","7894","1123468","true","false","English","Vivid"
"https://static-cdn.jtvnw.net/jtv_user_pictures/319abc66-b4c8-43bd-af83-34037f8fa2f1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","923","Roier","61010670","30750","6400","1557","345977","322796","1585860","true","false","Spanish","Roier"
