"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/7e200eb7fdc69616-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9801","Wild_Mudkip","12052320","59850","785","191","40319","25358","244739","true","true","English","Wild_Mudkip"
"https://static-cdn.jtvnw.net/jtv_user_pictures/liquidken-profile_image-dece7bb369a72f92-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9802","LiquidKen","1480020","38220","1037","36","40312","2999","56455","true","false","English","LiquidKen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/drako-profile_image-e2148370e2223705-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9803","Drako","258315","1395","298","171","40312","31","5314","true","true","English","Drako"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b9a84cd1-ae53-4300-bda9-7ff2dab1e6ee-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9804","KuziGang","5164200","19605","5926","259","40282","39458","356943","true","false","Turkish","KuziGang"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a8a6d6b1-0014-4c1c-b040-f2308fb2046c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9805","totitosalvio","1379475","2460","1903","564","40267","39477","66847","true","false","English","totitosalvio"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ecc3eee4-a97d-4f27-a02c-d3242509e6ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9806","laconejitagamer","634290","25125","193","24","40254","3016","48041","true","true","Spanish","laconejitagamer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9bd1469517979b71-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9807","ColonoGamer","7798965","25545","2509","291","40248","16655","195630","true","true","Portuguese","ColonoGamer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27311f8b48ad3da6-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9808","DIWD","180270","4635","96","37","40245","185","6173","true","true","English","DIWD"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dc0932c1-3e47-465c-85f6-9c0eca9c984c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9809","Karuchita","7606365","106125","1209","63","40241","34022","453842","true","true","Spanish","Karuchita"
"https://static-cdn.jtvnw.net/jtv_user_pictures/immunepwnz-profile_image-45c9ac5e4608dbbb-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9810","immunepwnz","1203165","39360","589","27","40241","-905","57521","false","false","Russian","immunepwnz"
