"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/554e72ad-5b8b-4d11-b666-debcbb259b04-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9601","Xmiramira","6121755","33405","4867","175","41072","11122","195440","true","false","English","Xmiramira"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d0e45a6b-f36d-4476-ad29-f5467f905a15-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9602","QJBeat","108045","2565","230","38","41064","1527","2559","true","false","English","QJBeat"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9aaa793b-6021-446a-82c8-abe5b3caab30-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9603","XeKsenon","9844815","31650","1588","289","41054","7201","962487","true","false","Turkish","XeKsenon"
"https://static-cdn.jtvnw.net/jtv_user_pictures/91471b47-41ac-4438-a758-eb51bc4467d6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9604","Yunalescka","7944330","82950","1169","90","41053","4274","259647","true","true","English","Yunalescka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e31dd662-536c-48f4-9d93-5e3b70807827-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9605","KFO_","4243365","38235","2423","118","41051","31437","152076","true","false","Arabic","KFO_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fc651620-2772-4a75-b5a6-3bbc8f9994fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9606","xJayCee_","1129455","9090","970","208","41046","30080","88105","false","false","Spanish","xJayCee_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/045d2f5b-3404-4723-a4d1-900ea997f76f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9607","colelep","1987650","80085","248","23","41046","7143","48312","true","true","English","colelep"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fc1db61b-580f-462f-a4d1-22666dee145c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9608","Rubynavx","4611240","58545","3610","67","41044","36871","144246","true","false","Spanish","Rubynavx"
"https://static-cdn.jtvnw.net/jtv_user_pictures/45085f2c-b3c3-4de0-b791-d9c335ebe02b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9609","Vida","1469235","90915","156","14","41044","-737","34994","true","true","English","Vida"
"https://static-cdn.jtvnw.net/jtv_user_pictures/039631fa-7a9f-431a-8347-b0a34121f161-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9610","dominicandre","234120","6285","369","39","41042","38413","4163","true","false","English","dominicandre"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d630339e-8d9f-424d-b8d6-4421fdae4892-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9611","Failplay_TV","119550","930","1155","174","41039","211","20472","true","true","Turkish","Failplay_TV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e15e0a71-d0c4-4d2e-86e6-37494e7510bd-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9612","freiraumreh","3594045","12210","1034","285","41034","4151","167766","true","true","German","freiraumreh"
"https://static-cdn.jtvnw.net/jtv_user_pictures/84552011-eaaa-40b8-b20e-d5228a0f82b2-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9613","Gdsandstorm","3863535","6675","16385","558","41021","30295","127595","true","false","English","Gdsandstorm"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6a96c1f3-73de-4b85-850f-7f82d741479b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9614","Rafael","4563060","45480","389","98","41020","35949","152645","true","false","Portuguese","Rafael"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ac361662-a2da-406c-9451-31026f676b9d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9615","RaiseYourEdge","19311750","9525","6486","2133","41016","19103","463824","true","true","English","RaiseYourEdge"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3177a318-8db4-45fb-8608-427b7ccd7e15-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9616","dieatzentv","7609800","3135","8941","2191","41011","41002","137584","false","true","German","dieatzentv"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c1a0eb41-8535-46e1-aa41-0c6c23ecb2c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9617","Enigma","2689905","35670","686","75","41008","14757","105997","true","false","English","Enigma"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a4dbdcb2-1a04-448d-8d73-4ec607f59a54-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9618","1cePrime","1546125","43755","526","34","41005","-51","38971","true","true","English","1cePrime"
"https://static-cdn.jtvnw.net/jtv_user_pictures/61d8af9e-ee9b-4c4b-a207-310375cbfe5f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9619","CrowlleyTV","1812570","36060","484","45","41002","5750","225721","false","false","Russian","CrowlleyTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/01deadd1-3cb9-4e2c-9108-ba53f79497ec-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9620","THAMNESS","11968755","75210","898","157","41001","9835","312945","true","true","Arabic","THAMNESS"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bc4181d5-9c97-46bf-857a-7b5414ce42c7-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9621","MrLovely","2139945","97575","1251","19","40995","40240","69070","false","false","English","MrLovely"
