"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/e92a2d78-787c-419d-83a0-b0af1a4b7bc4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","701","Nanocs1","66102810","35505","19277","1910","419309","261404","2304949","true","false","Spanish","Nanocs1"
"https://static-cdn.jtvnw.net/jtv_user_pictures/48ab2699-c16b-4ced-a310-ae66f4a9e812-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","702","Tecnonauta","4350120","2955","13066","1561","419161","129101","168313","false","false","Spanish","Tecnonauta"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b0af78c5-e38c-494c-990f-71884e4494d6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","703","karavay46","177393120","33615","48331","5102","419098","347813","11104281","true","false","Russian","karavay46"
"https://static-cdn.jtvnw.net/jtv_user_pictures/aae906d9-0423-45d0-802e-1913411da4b8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","704","twitchgaming","172825605","9540","123325","16201","418999","393532","34732155","true","false","English","twitchgaming"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d0d0c8f5-629e-4db2-abe1-99c90bf99331-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","705","iklooode25","71806155","9945","42463","7871","418710","164582","716894","true","false","Arabic","iklooode25"
"https://static-cdn.jtvnw.net/jtv_user_pictures/stylishnoob4-profile_image-08271f11296c16df-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","706","stylishnoob4","1310918175","131355","26657","9791","418701","163300","26862725","true","false","Japanese","stylishnoob4"
"https://static-cdn.jtvnw.net/jtv_user_pictures/gorgc-profile_image-469e05d25a1e8594-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","707","Gorgc","1339362345","143010","56449","9217","417512","130026","22265504","true","true","English","Gorgc"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f5b9bdb2-6fe4-4463-b55b-c031a800627a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","708","Dinglederper","3808110","13245","741","289","415574","203","442471","true","true","English","Dinglederper"
"https://static-cdn.jtvnw.net/jtv_user_pictures/19309fcb-812c-40f7-b11e-10bcc653315a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","709","HealthyGamer_GG","148699815","18855","72510","7542","415428","382971","3712411","true","false","English","HealthyGamer_GG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8dc39a1c-7845-4acf-aa55-9def0cf49415-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","710","SNAILKICKtm","35579715","22170","13055","1681","414426","60675","2066807","true","false","Russian","SNAILKICKtm"
