"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/501c313b-1482-4a14-bed0-6bb7da277c3c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","601","JessicaBlevins","8589555","13950","7645","583","469270","-2225","676190","true","false","English","JessicaBlevins"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ea3d506d-0339-40e7-ae44-eb104d5a546b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","602","Agraelus","859591530","162120","54289","5353","468873","157519","24614054","true","true","Czech","Agraelus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/938e2475-09f9-4196-9165-f14ed5f9098b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","603","loud_leleo","81648075","68625","10264","1128","468518","385617","3272414","true","true","Portuguese","loud_leleo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/039b8034-2b66-4d30-97ec-15bf08f219d9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","604","TSM_ImperialHal","826683750","140190","24302","5766","468162","430726","15782064","true","false","English","TSM_ImperialHal"
"https://static-cdn.jtvnw.net/jtv_user_pictures/deadmau5-profile_image-ee72d3d05d3b99a8-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","605","deadmau5","351045","315","1286","1114","468075","20","13061","true","true","English","deadmau5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/fdd726f0-5e06-4211-ab5c-abf1faedece9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","606","TPAIN","38265975","27510","19986","1360","467728","324453","1689887","true","true","English","TPAIN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2ec5c611-be12-4cd0-a03f-b63de540b73b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","607","Jinnytty","769737150","156570","18813","4894","466915","273378","17609838","true","true","English","Jinnytty"
"https://static-cdn.jtvnw.net/jtv_user_pictures/46d1aba3-9341-4ead-ae27-81621feba921-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","608","sips_","314146050","102915","9094","3044","465279","70775","4497638","true","true","English","sips_"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d1e12d52-0f58-414d-9b7e-a6c20aad3f9b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","609","Theokoles","27187185","45090","3480","527","464608","4398","1784432","true","false","Turkish","Theokoles"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cyanideplaysgames-profile_image-3add517759a098d1-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","610","CyanidePlaysGames","83116005","83400","8631","865","463608","57242","2196125","true","false","English","CyanidePlaysGames"
"https://static-cdn.jtvnw.net/jtv_user_pictures/27d93990-2a43-4cf4-968b-8880b9a3ec0b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","611","Kruzadar","107386215","86475","5945","1272","463037","421392","2021251","true","true","English","Kruzadar"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec097930-dea0-4819-aafb-cd0e935a60f9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","612","BotezLive","396289860","119550","36278","3112","462339","403359","22405942","true","false","English","BotezLive"
