"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/292bea17-434f-4295-b1c7-205d16da43fb-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","201","Sapnap","164234730","12300","59504","14477","1015419","1015131","3402553","true","false","English","Sapnap"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9620d2b4-7cdd-4766-8ef2-a67e59b7f84b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","202","StarLadder5","38821125","17415","29840","1961","1011572","-24872","2744743","true","false","Russian","StarLadder5"
"https://static-cdn.jtvnw.net/jtv_user_pictures/5169e81b-efdc-46aa-8d22-946f674f0844-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","203","Replays","290913735","147345","7454","1923","1011010","487091","4967765","true","false","English","Replays"
"https://static-cdn.jtvnw.net/jtv_user_pictures/64c0eaed-eb9c-4fbd-8a92-86508b4caa4d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","204","Nick28T","538949625","184410","16011","2896","1010453","87654","6210812","true","true","English","Nick28T"
"https://static-cdn.jtvnw.net/jtv_user_pictures/70d90ec14808c95f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","205","Locklear","720304455","113325","23308","6270","1009301","521141","20842177","true","false","French","Locklear"
"https://static-cdn.jtvnw.net/jtv_user_pictures/47e8180c-729e-4b40-8637-247164dc846a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","206","DanTDM","72253245","22140","16028","3112","1006425","768740","3096015","true","false","English","DanTDM"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","207","MOONMOON","1604363355","121290","29193","11992","1003567","147018","13739232","true","true","English","MOONMOON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/elotrix-profile_image-68e89e930904b2e6-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","208","ELoTRiX","450500070","72420","31194","6145","1001274","337086","7210826","true","true","German","ELoTRiX"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0c784204-f3aa-454f-aacc-8e304a6afc72-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","209","Philza","308805210","61665","67181","4934","998062","690282","8153677","true","false","English","Philza"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ed1de3b5-92ba-4de4-ba35-ba0eee72a44d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","210","scoped","507689325","93315","47343","5508","996677","989506","12845778","true","true","English","scoped"
"https://static-cdn.jtvnw.net/jtv_user_pictures/35879a43-1805-44ff-8fe8-3bfa38f14f9f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","211","MissaSinfonia","68107785","3015","42044","22622","993029","752381","1318841","true","false","Spanish","MissaSinfonia"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7ab3dacf-8042-448c-bd18-393383314592-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","212","BarcaGamer","227399835","115545","57917","2177","990868","863133","5269121","true","false","Spanish","BarcaGamer"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0f0794ce-84a0-4540-8dff-5055f38d3c9b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","213","Wismichu","40538070","17640","13241","2295","988999","461026","2287569","true","false","Spanish","Wismichu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3a88c07c-5159-40d8-9860-35df170272e3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","214","ilMasseo","329394120","87600","43687","3761","988159","909037","7072143","true","false","Italian","ilMasseo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ricegum-profile_image-f71f2c4fb046645a-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","215","RiceGum","200019555","17790","29173","11063","983520","468635","3426537","true","false","English","RiceGum"
"https://static-cdn.jtvnw.net/jtv_user_pictures/139e01fe-a3f2-43fc-8f62-50748321008e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","216","LCK","1417760370","36885","171861","38446","979389","333520","30585704","true","false","English","LCK"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0b6ab0f2-d555-4fc6-93ee-0ab623a39425-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","217","TheKAIRI78","388145790","67950","47081","5336","978939","699387","5942193","true","false","French","TheKAIRI78"
"https://static-cdn.jtvnw.net/jtv_user_pictures/0f407dca-e9f8-4a90-beb9-cdf6837d0000-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","218","Felps","436319925","131085","15553","3251","976463","397899","9130586","true","false","Portuguese","Felps"
"https://static-cdn.jtvnw.net/jtv_user_pictures/bb4cb8aa-3d7f-4925-bc29-26953fa28c0e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","219","Llobeti4","597585030","113970","37469","5257","971912","862901","16155618","true","false","Spanish","Llobeti4"
"https://static-cdn.jtvnw.net/jtv_user_pictures/9977a2c6-82f0-4d7f-96ec-8c2e08991814-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","220","calango","242765670","100980","17148","2391","970391","461775","6630791","true","false","Portuguese","calango"
"https://static-cdn.jtvnw.net/jtv_user_pictures/2b5b7456-b4b8-49c7-aae5-57ab616c7307-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","221","Fitz","32734935","8820","10057","3647","969416","203676","1396632","true","false","English","Fitz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/db623728431d29c3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","222","Yogscast","565225440","404430","59035","1264","964451","96117","18446091","true","false","English","Yogscast"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8b183655-aca2-4bb2-b97f-52a92ed8559a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","223","Mickalow","326636250","163275","37872","1897","962259","295472","10640427","true","false","French","Mickalow"
"https://static-cdn.jtvnw.net/jtv_user_pictures/4fdea462d36fadb9-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","224","ZEON","89420445","47160","11332","1905","951979","25267","2589828","true","false","Turkish","ZEON"
"https://static-cdn.jtvnw.net/jtv_user_pictures/f170344d-7a60-47fa-8be6-a74e803fcf12-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","225","BeyondTheSummit","1235602290","505650","65878","2432","948462","101601","42421992","true","false","English","BeyondTheSummit"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d106e6cbf2483610-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","226","Valkyrae","13527615","5175","4074","2520","945218","21609","420884","true","false","English","Valkyrae"
"https://static-cdn.jtvnw.net/jtv_user_pictures/folagorlives-profile_image-2456af9afdbefda3-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","227","FolagorLives","829854660","122505","57813","6253","942252","491411","15994832","true","false","Spanish","FolagorLives"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b84b2c78-9e28-4f13-b2fe-bee20a4824d5-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","228","Domingo","808081215","70005","72458","12693","939034","277004","25536009","true","true","French","Domingo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6ab6799f-4f3a-4fe4-8b40-5296c6843f0d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","229","RTGameCrowd","210677595","44970","20354","4616","932588","328747","5360261","true","false","English","RTGameCrowd"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8c2183e6-0deb-4377-a0bf-cbbf56ea70f3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","230","karljacobs","298103370","17610","103909","15677","931841","905830","5366663","true","false","English","karljacobs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/c0f93540-556a-44a6-9c74-ea0fafea8115-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","231","lestream","1058323665","234525","40306","4399","929744","114192","32628915","true","false","French","lestream"
"https://static-cdn.jtvnw.net/jtv_user_pictures/6b23888a-0500-49ec-99fa-4e89c721f3bc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","232","hastad","310119825","141465","10888","2117","928959","251910","10007454","true","false","Portuguese","hastad"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b8dfcbb1-70df-4bc4-b045-001ef06e79f5-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","233","EmadGG","647436660","150435","67732","3504","924511","794281","13494168","true","false","English","EmadGG"
"https://static-cdn.jtvnw.net/jtv_user_pictures/reckful-profile_image-b22e4d39d3d6e045-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","234","Reckful","62367630","10080","15858","6075","923809","37908","1452253","true","false","English","Reckful"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e03d6831-97e6-4c53-bc12-cb7c4cdf304e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","235","ONSCREEN","1272709230","143385","88516","4617","916058","666311","26962378","true","false","English","ONSCREEN"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cf3cbad9-55c4-42e9-8d4b-2e2fb23549f8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","236","zEkO","308116635","61815","23836","5256","913089","525982","9053698","true","true","Spanish","zEkO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/83460119-dc38-4dc8-bccf-3323c53af90f-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","237","BrookeAB","146330265","56670","24357","2475","910418","329074","6994868","true","false","English","BrookeAB"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e4238be738e0437d-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","238","Frankkaster","209647965","40725","49127","5389","909472","418116","8705471","true","true","Spanish","Frankkaster"
"https://static-cdn.jtvnw.net/jtv_user_pictures/67f78bd4-77ba-4406-be5e-06f10d451fa4-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","239","MrKeroro10","258368730","87960","29384","2302","907523","785486","8917630","true","false","Spanish","MrKeroro10"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e273ce97-23c0-4fb1-8617-030bbdd0b179-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","240","Ubisoft","89323635","11205","487430","4561","906762","450715","7415421","true","true","English","Ubisoft"
"https://static-cdn.jtvnw.net/jtv_user_pictures/amaz-profile_image-128bb4f9fe96c7ba-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","241","Amaz","149256540","76290","6935","1996","901744","-36410","2922640","true","false","English","Amaz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/7b0b5e16-5a79-4ab8-b9a5-6e8e9280397e-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","242","lolnatie","1104780","15735","701","66","900016","899254","140662","false","true","English","lolnatie"
"https://static-cdn.jtvnw.net/jtv_user_pictures/44148217-c700-4e78-919e-df5f0fd2a603-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","243","Stewie2K","146421435","23865","27416","5289","890139","266761","5515094","true","true","English","Stewie2K"
"https://static-cdn.jtvnw.net/jtv_user_pictures/08b6093c-450d-4273-abb8-6589c65d411c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","244","Brunenger","916929810","200235","151531","5724","882806","874935","22228676","true","false","Spanish","Brunenger"
"https://static-cdn.jtvnw.net/jtv_user_pictures/063d181b36848af3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","245","MacieJay","261832485","124470","7318","2079","878187","178351","5631597","true","false","English","MacieJay"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3fb2c2bb-7de5-4af9-94a6-4ba65ea4aaea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","246","yeTz","462089745","110325","26293","3956","877856","261062","12390704","true","false","Portuguese","yeTz"
