"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/502a25c3-bd21-4089-a7b8-0abeb5145f5a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9001","MerlinChess","56289135","51360","2914","1046","43965","20962","894339","true","true","Russian","MerlinChess"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e72ab1bc-37a3-4be0-890b-b887ebce600a-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9002","Movistar_Riders","7423845","45750","3649","126","43948","5038","508015","true","false","Spanish","Movistar_Riders"
"https://static-cdn.jtvnw.net/jtv_user_pictures/tyky14-profile_image-5ea80fede2994265-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","9003","TYKY14","1840680","40965","263","46","43944","326","56605","true","false","Russian","TYKY14"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cb20b70c-0d0e-4c0c-9867-2c92795050f1-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9004","teamcoco","20985","270","202","74","43943","-34","1521","true","false","English","teamcoco"
"https://static-cdn.jtvnw.net/jtv_user_pictures/253add04-e43e-407c-bd60-835f74e7196b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9005","GaryWhitta","17821200","30750","27835","557","43932","33111","4034224","true","false","English","GaryWhitta"
"https://static-cdn.jtvnw.net/jtv_user_pictures/75cad437-5e47-457d-ace7-d00025b7db45-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9006","Lyse4ka","7124850","49650","679","135","43923","18044","474451","true","false","Russian","Lyse4ka"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d50dcd70-8a31-4039-977b-4c9c20dfa356-profile_image-150x150.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100","9007","Gugao","15340065","128340","719","113","43919","13704","451696","true","true","Portuguese","Gugao"
"https://static-cdn.jtvnw.net/jtv_user_pictures/d27de90f-3309-4cfa-ad76-f089fdde3923-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9008","einebru","4683525","80805","1474","59","43918","43916","183918","true","true","Portuguese","einebru"
"https://static-cdn.jtvnw.net/jtv_user_pictures/b4b5adc9-c7dd-48f0-bd39-4c72382eb013-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9009","ElMochh","2897250","73020","1528","43","43918","43715","159534","false","false","Spanish","ElMochh"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8344d875-d377-43cf-b51c-e9b9988a16af-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","9010","hazzyb","400935","12015","98","27","43911","42819","8274","false","false","English","hazzyb"
