"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/13387539-0c36-4572-9f87-6f51816f4930-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","101","shofu","85921470","65385","6743","1262","1528480","1301926","1018303","true","true","English","shofu"
"https://static-cdn.jtvnw.net/jtv_user_pictures/96a94fcc-65e6-46f7-af5c-dc308155a63b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","102","WilburSoot","213951195","11355","105760","19686","1526361","1324609","6100624","true","false","English","WilburSoot"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8fb3bb16-6b9a-4d91-9161-e6b1c1b7f8ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","103","TheRealKnossi","2405419710","60885","328945","28638","1515318","960769","31152004","true","true","German","TheRealKnossi"
"https://static-cdn.jtvnw.net/jtv_user_pictures/05529c10f7dfbf81-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","104","Trick2g","350524260","135810","12157","2536","1503388","87616","8101597","true","true","English","Trick2g"
"https://static-cdn.jtvnw.net/jtv_user_pictures/358eca14-3784-43ef-9c48-7f58c2d4e345-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","105","Jahrein","646856100","61755","31474","10246","1503007","263832","20432393","true","false","Turkish","Jahrein"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55949a07-d9e4-4b1e-84f7-6ec129f193ea-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","106","IzakOOO","608500140","118800","43050","3983","1502231","291961","19341987","true","false","Polish","IzakOOO"
"https://static-cdn.jtvnw.net/jtv_user_pictures/3a3c5be0-aa87-4b2e-88aa-20d3edcf4e51-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","107","GoneDoc","62657880","82845","23633","705","1484096","76830","1532933","true","true","English","GoneDoc"
"https://static-cdn.jtvnw.net/jtv_user_pictures/tsm_bjergsen-profile_image-ba41a683271a8848-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","108","TSM_Bjergsen","15532575","765","32659","16815","1482110","18459","424708","true","false","English","TSM_Bjergsen"
"https://static-cdn.jtvnw.net/jtv_user_pictures/dyrus-profile_image-65fe199f18b9e0ff-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","109","Dyrus","193911135","157560","11338","1203","1481909","12124","4371894","true","true","English","Dyrus"
"https://static-cdn.jtvnw.net/jtv_user_pictures/96d66837-22f0-4393-89c5-2e5c2408485b-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","110","buster","1279890000","58515","114596","21113","1474570","1384174","55641133","true","false","Russian","buster"
