"","","Channel","Watch time","Stream time","Peak viewers","Average viewers","Followers","Followers gained","Views gained","Partnered","Mature","Language",""
"https://static-cdn.jtvnw.net/jtv_user_pictures/767e269a-a68a-4822-a331-6fe8dbf7c5da-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","501","JustGaBBo","132573285","87465","10226","1466","546604","235548","3997282","true","false","Italian","JustGaBBo"
"https://static-cdn.jtvnw.net/jtv_user_pictures/sleepy-profile_image-407c8ad000eca3ff-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","502","sleepy","337754955","112095","8855","2988","545105","491794","4850307","true","false","English","sleepy"
"https://static-cdn.jtvnw.net/jtv_user_pictures/ec693537-6ed1-41a6-8d7c-63d7b8d0cee8-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","503","Rush","270318420","80055","13573","3325","544862","43646","5054751","true","false","English","Rush"
"https://static-cdn.jtvnw.net/jtv_user_pictures/13041726-052f-4009-bf48-2195eb3bd376-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","504","Baiano","1280370795","109545","130745","10782","544449","461583","28464672","true","true","Portuguese","Baiano"
"https://static-cdn.jtvnw.net/jtv_user_pictures/8226f6c2-e779-4a30-8f0f-298324e47d63-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","505","Bethesda","97014405","18675","52580","1913","543794","85010","5127498","true","true","English","Bethesda"
"https://static-cdn.jtvnw.net/jtv_user_pictures/kaceytron-profile_image-4ccedfdeb3242a27-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","506","kaceytron","66522255","82590","7290","759","543500","48715","2213775","true","true","English","kaceytron"
"https://static-cdn.jtvnw.net/jtv_user_pictures/775427ebe6ec8284-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","507","Savjz","302510295","82875","22070","3657","542706","1172","5005104","true","false","English","Savjz"
"https://static-cdn.jtvnw.net/jtv_user_pictures/a53b06a0-9d7b-4211-b944-f43ff41b19d8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","508","HusKerrs","820154910","137745","39433","5685","541406","474404","12331626","true","false","English","HusKerrs"
"https://static-cdn.jtvnw.net/jtv_user_pictures/cbd1943882e96b99-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","509","Mrtweeday","25017240","104595","1732","225","541290","52186","1530598","true","true","English","Mrtweeday"
"https://static-cdn.jtvnw.net/jtv_user_pictures/eaeb7b5f-26db-46fc-bb62-ea1be543fb41-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","510","RayNarvaezJr","149121810","86535","26625","1745","540200","31178","3653484","true","false","English","RayNarvaezJr"
"https://static-cdn.jtvnw.net/jtv_user_pictures/e5ac99aa-cfa0-4825-8678-3e9e1b836bbc-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","511","LPL","899691960","48060","146577","18738","537728","301490","33202930","true","false","English","LPL"
"https://static-cdn.jtvnw.net/jtv_user_pictures/55ea932f-491c-47c7-aebf-0f90ed997162-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","512","SparkofPhoenixTV","179105715","94215","11799","1547","537146","177535","4123862","true","false","German","SparkofPhoenixTV"
"https://static-cdn.jtvnw.net/jtv_user_pictures/310a8c99-bd5b-44e9-b0ad-c9853c7bf7db-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","513","MitchJones","172951065","34575","31495","4561","535640","94863","3195637","false","false","English","MitchJones"
